year,source_category,quantity_co2e_tonnes,facility_id
2024,Stationary Fuel Combustion,23857.66215,1207
2024,On-site Transportation,1395.421025,1207
2024,Stationary Fuel Combustion,16070.13148,1206
2024,On-site Transportation,411.07424,1206
2024,CO2 from Biomass Combustion,0.0,263
2024,Stationary Fuel Combustion,46038.3552,263
2024,On-site Transportation,33.375085,263
2024,Wastewater,662.802,263
2024,Fugitives (Flaring),6728.325532,1142
2024,Fugitives (Leakage),212.78488,1142
2024,Stationary Fuel Combustion,43739.95277,1142
2024,Fugitives (Venting),585.663518,1142
2024,Stationary Fuel Combustion,33700.9311,803
2024,On-site Transportation,55.162,803
2022,CO2 from Biomass Combustion,0.0,739
2022,Stationary Fuel Combustion,17773.35746,739
2022,Industrial Process,407.3021,739
2022,Wastewater,159.0,739
2023,CO2 from Biomass Combustion,0.0,739
2023,Stationary Fuel Combustion,16009.5543,739
2023,Industrial Process,388.07081,739
2023,Wastewater,132.5,739
2023,Stationary Fuel Combustion,8727.5549,737
2023,Industrial Process,111.4,737
2023,Wastewater,15.9,737
2022,Stationary Fuel Combustion,9128.412,737
2022,Industrial Process,119.6,737
2022,Wastewater,15.9,737
2024,CO2 from Biomass Combustion,0.0,115
2024,Stationary Fuel Combustion,118059.0795,115
2024,Industrial Process,871.6721,115
2024,On-site Transportation,1752.7527,115
2024,Wastewater,26.4735,115
2024,Stationary Fuel Combustion,24845.144,1370
2024,On-site Transportation,5.2315,1370
2024,Stationary Fuel Combustion,65030.37932,438
2024,Industrial Process,52531.915,438
2024,On-site Transportation,1453.93637,438
2024,CO2 from Biomass Combustion,0.0,443
2024,Fugitives (Flaring),347.056,443
2024,Stationary Fuel Combustion,57855.3905,443
2024,On-site Transportation,1492.1761,443
2024,Wastewater,12992.0,443
2024,Stationary Fuel Combustion,9509.616915,1567
2024,CO2 from Biomass Combustion,0.0,473
2024,Stationary Fuel Combustion,39094.115,473
2024,On-site Transportation,1276.2142,473
2024,Wastewater,15.105,473
2024,CO2 from Biomass Combustion,0.0,1117
2024,Fugitives (Flaring),258.36,1117
2024,Stationary Fuel Combustion,118758.8419,1117
